Data Medicao;Hora Medicao;VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2006-03-13;0000;82;4,6;2,1;
2006-03-13;0100;102;4,3;1,9;
2006-03-13;0200;85;3,7;1,5;
2006-03-13;0300;94;2,5;,4;
2006-03-13;0400;93;1,6;0;
2006-03-13;0500;104;0;0;
2006-03-13;0600;62;0;0;
2006-03-13;0700;299;0;0;
2006-03-13;0800;255;0;0;
2006-03-13;0900;239;0;0;
2006-03-13;1000;88;0;0;
2006-03-13;1100;68;3,2;2;
2006-03-13;1200;62;4,3;2,4;
2006-03-13;1300;58;6,4;3,8;
2006-03-13;1400;55;7,4;2,8;
2006-03-13;1500;65;6,3;3,6;
2006-03-13;1600;57;6,6;2,1;
2006-03-13;1700;98;6,3;3,1;
2006-03-13;1800;112;6,4;2,9;
2006-03-13;1900;113;8,6;4,6;
2006-03-13;2000;100;8,6;3,4;
2006-03-13;2100;106;7,9;4,1;
2006-03-13;2200;103;7,9;3,5;
2006-03-13;2300;110;6,7;3;
2006-03-14;0000;97;6,1;3,4;
2006-03-14;0100;107;5,4;2,3;
2006-03-14;0200;99;4,7;2,5;
2006-03-14;0300;79;6;2,3;
2006-03-14;0400;72;4,3;1,4;
2006-03-14;0500;109;2,3;,4;
2006-03-14;0600;115;1,3;0;
2006-03-14;0700;76;0;0;
2006-03-14;0800;193;0;0;
2006-03-14;0900;255;0;0;
2006-03-14;1000;281;0;0;
2006-03-14;1100;357;2,5;,9;
2006-03-14;1200;63;4;2,1;
2006-03-14;1300;64;4,9;3,1;
2006-03-14;1400;39;6,8;2,6;
2006-03-14;1500;26;6,1;2,5;
2006-03-14;1600;27;6,8;1,4;
2006-03-14;1700;119;5,5;1,6;
2006-03-14;1800;97;4,9;1,6;
2006-03-14;1900;101;6,3;3,5;
2006-03-14;2000;88;6,4;3,4;
2006-03-14;2100;97;6,5;4;
2006-03-14;2200;101;7,3;3,4;
2006-03-14;2300;76;7,3;3;
2006-03-15;0000;98;6,5;2,5;
2006-03-15;0100;103;4,4;1,5;
2006-03-15;0200;101;4,2;2,1;
2006-03-15;0300;106;4,2;1,5;
2006-03-15;0400;38;2,5;,4;
2006-03-15;0500;144;1,2;0;
2006-03-15;0600;344;2,1;,7;
2006-03-15;0700;19;2,5;,9;
2006-03-15;0800;45;2,2;,8;
2006-03-15;0900;27;2;1,3;
2006-03-15;1000;78;2,1;1,1;
2006-03-15;1100;20;3;1,5;
2006-03-15;1200;23;3,8;1,8;
2006-03-15;1300;71;5,2;2;
2006-03-15;1400;77;5,8;1,9;
2006-03-15;1500;50;5;3;
2006-03-15;1600;16;5,9;2;
2006-03-15;1700;125;7,1;1,4;
2006-03-15;1800;100;3,9;1,4;
2006-03-15;1900;206;4;,5;
2006-03-15;2000;214;4,5;1,7;
2006-03-15;2100;103;5,6;3,5;
2006-03-15;2200;81;5,2;2,2;
2006-03-15;2300;70;4,7;2,7;
2006-03-16;0000;73;6;2,7;
2006-03-16;0100;92;4,9;1,9;
2006-03-16;0200;73;4,3;2,2;
2006-03-16;0300;95;3,8;0;
2006-03-16;0400;327;2,3;0;
2006-03-16;0500;150;2,1;0;
2006-03-16;0600;76;3,1;,8;
2006-03-16;0700;76;2,3;0;
2006-03-16;0800;66;0;0;
2006-03-16;0900;6;1,8;1,1;
2006-03-16;1000;76;2;1,2;
2006-03-16;1100;358;2,1;,9;
2006-03-16;1200;100;2,9;1,8;
2006-03-16;1300;66;3,7;1,8;
2006-03-16;1400;25;5,5;1,6;
2006-03-16;1500;89;4,8;1,7;
2006-03-16;1600;53;4,8;1,9;
2006-03-16;1700;67;6,1;3,3;
2006-03-16;1800;63;6,5;2,8;
2006-03-16;1900;106;5,2;2,5;
2006-03-16;2000;109;5,1;2,6;
2006-03-16;2100;99;7;3,7;
2006-03-16;2200;99;7,4;3,7;
2006-03-16;2300;80;6,4;2,4;
2006-03-17;0000;97;5;2,7;
2006-03-17;0100;94;5,2;2;
2006-03-17;0200;107;4;1,7;
2006-03-17;0300;101;3,4;1,7;
2006-03-17;0400;77;5,1;2,8;
2006-03-17;0500;90;5,2;1,7;
2006-03-17;0600;91;4;2;
2006-03-17;0700;157;3,8;,2;
2006-03-17;0800;92;2,6;1,4;
2006-03-17;0900;78;4,5;2,3;
2006-03-17;1000;74;3,7;1,7;
2006-03-17;1100;68;3,6;1,6;
2006-03-17;1200;54;5,2;3;
2006-03-17;1300;41;6,9;3,1;
2006-03-17;1400;60;7,3;4,4;
2006-03-17;1500;41;8,2;3,7;
2006-03-17;1600;32;7;3,8;
2006-03-17;1700;26;7;3,6;
2006-03-17;1800;45;8,1;3,5;
2006-03-17;1900;39;7,5;3,5;
2006-03-17;2000;23;6,9;2,4;
2006-03-17;2100;98;5,9;3,1;
2006-03-17;2200;97;5,5;2,7;
2006-03-17;2300;77;6;3,2;
2006-03-18;0000;77;5,4;2,5;
2006-03-18;0100;80;5,1;2,5;
2006-03-18;0200;72;4,9;2,3;
2006-03-18;0300;84;5,7;1,7;
2006-03-18;0400;55;5,1;2,3;
2006-03-18;0500;98;6,2;1,9;
2006-03-18;0600;91;5,2;1,4;
2006-03-18;0700;96;3,5;1,9;
2006-03-18;0800;82;2,9;,1;
2006-03-18;0900;162;2;0;
2006-03-18;1000;122;2,4;1,1;
2006-03-18;1100;82;2,8;1,6;
2006-03-18;1200;58;4,1;2,5;
2006-03-18;1300;45;5,8;3,6;
2006-03-18;1400;41;5,9;3,2;
2006-03-18;1500;53;6,8;2,6;
2006-03-18;1600;101;6,6;2,5;
2006-03-18;1700;71;6,8;2,5;
2006-03-18;1800;252;6;1,9;
2006-03-18;1900;73;10,3;,7;
2006-03-18;2000;98;5,3;3,1;
2006-03-18;2100;104;6;3,6;
2006-03-18;2200;90;6,2;2,3;
2006-03-18;2300;89;4,9;1,9;
2006-03-19;0000;85;5,4;2,3;
2006-03-19;0100;74;5,3;3,1;
2006-03-19;0200;70;5,3;2,6;
2006-03-19;0300;94;4,6;1,7;
2006-03-19;0400;99;5;1,5;
2006-03-19;0500;104;4,5;2;
2006-03-19;0600;91;4,2;1,7;
2006-03-19;0700;106;4,1;1,8;
2006-03-19;0800;96;3,7;,9;
2006-03-19;0900;342;2,3;0;
2006-03-19;1000;9;0;0;
2006-03-19;1100;23;2,5;,8;
2006-03-19;1200;14;3,6;1,6;
2006-03-19;1300;65;4,6;2,7;
2006-03-19;1400;99;6,3;3,3;
2006-03-19;1500;48;6,7;3;
2006-03-19;1600;80;6,4;3,4;
2006-03-19;1700;88;7;3,2;
2006-03-19;1800;2;8,5;3,5;
2006-03-19;1900;122;7,1;2,3;
2006-03-19;2000;72;6,8;3,3;
2006-03-19;2100;90;8,4;3,9;
2006-03-19;2200;88;8,4;3,1;
2006-03-19;2300;87;6,1;3;
2006-03-20;0000;81;6,7;2,6;
2006-03-20;0100;76;6,8;2,6;
2006-03-20;0200;75;5,9;2,7;
2006-03-20;0300;64;5,6;1,7;
2006-03-20;0400;54;4,4;2,3;
2006-03-20;0500;61;4,1;1,9;
2006-03-20;0600;27;3,7;1,5;
2006-03-20;0700;52;2,8;,9;
2006-03-20;0800;11;3,1;2;
2006-03-20;0900;37;3,1;1,5;
2006-03-20;1000;314;2,2;,7;
2006-03-20;1100;332;2,4;1,2;
2006-03-20;1200;15;3,4;1,7;
2006-03-20;1300;344;5;2,5;
2006-03-20;1400;319;7,2;3;
2006-03-20;1500;288;7,5;4,1;
2006-03-20;1600;321;8;3;
2006-03-20;1700;304;8;2,5;
2006-03-20;1800;302;6,2;3,4;
2006-03-20;1900;262;6,1;2,8;
2006-03-20;2000;212;5,5;1,8;
2006-03-20;2100;169;4,8;1,8;
2006-03-20;2200;184;4,2;1,2;
2006-03-20;2300;175;3,4;1,1;
2006-03-21;0000;183;4,1;1,7;
2006-03-21;0100;62;3,2;,3;
2006-03-21;0200;68;6,2;3,7;
2006-03-21;0300;81;6,2;1,9;
2006-03-21;0400;47;5,2;1,9;
2006-03-21;0500;360;3,5;1,6;
2006-03-21;0600;281;3;1,2;
2006-03-21;0700;251;3,8;,2;
2006-03-21;0800;74;1,4;0;
2006-03-21;0900;116;2,1;1,4;
2006-03-21;1000;112;2,6;1;
2006-03-21;1100;154;2,5;,9;
2006-03-21;1200;120;3,4;1,9;
2006-03-21;1300;108;4,7;2,6;
2006-03-21;1400;79;4,6;2;
2006-03-21;1500;66;6;2,9;
2006-03-21;1600;66;6;3;
2006-03-21;1700;136;7,7;2,3;
2006-03-21;1800;5;5,7;1,7;
2006-03-21;1900;89;6,7;3,1;
2006-03-21;2000;88;6,7;2,7;
2006-03-21;2100;107;6,1;2,7;
2006-03-21;2200;112;6,9;3,4;
2006-03-21;2300;117;6,9;2,8;
2006-03-22;0000;128;5,1;2,7;
2006-03-22;0100;121;5,8;2,8;
2006-03-22;0200;120;5,7;3,4;
2006-03-22;0300;123;5,7;2,5;
2006-03-22;0400;126;4,5;1,7;
2006-03-22;0500;117;4,3;2;
2006-03-22;0600;131;3,6;,9;
2006-03-22;0700;117;4;1,6;
2006-03-22;0800;98;3,6;2,2;
2006-03-22;0900;115;3,6;,9;
2006-03-22;1000;167;1,9;,5;
2006-03-22;1100;106;3,3;1,8;
